vessel_type,region,Y_2000,Y_2001,Y_2002,Y_2003,Y_2004,Y_2005,Y_2006,Y_2007,Y_2008,Y_2009,Y_2010,Y_2011,Y_2012,Y_2013,Y_2014,Y_2015,Y_2017
motor_tempel,jembrana,1672,1138,1645,1643,1489,1530,1464,1586,1576,1576,1298,1551,1551,1551,1551,1238,1238
motor_tempel,tabanan,83,96,99,202,206,217,211,211,210,210,213,213,204,194,194,111,116
motor_tempel,badung,616,631,677,743,743,844,938,1366,805,805,978,1077,1099,1099,1154,924,924
motor_tempel,gianyar,75,85,85,85,80,114,167,212,218,218,269,284,198,228,231,199,199
motor_tempel,klungkung,659,663,294,920,920,944,920,1062,1065,1065,1065,1070,1070,1080,1070,1110,1110
motor_tempel,karangasem,2871,2892,2935,3782,3900,4006,4201,4201,4784,4784,5713,6080,6066,6066,6066,6231,5486
motor_tempel,buleleng,1217,1237,1289,1732,1689,1829,2171,2310,1990,1990,2208,1986,2046,2272,2342,3038,3038
motor_tempel,denpasar,89,89,148,150,166,180,179,179,179,179,179,179,179,231,272,329,359
jukung,jembrana,1229,546,686,686,294,286,366,392,279,279,897,311,311,311,311,227,237
jukung,tabanan,175,175,170,21,64,60,88,94,49,49,2,49,264,245,249,46,46
jukung,badung,1119,1047,1057,1027,1068,1017,602,598,345,345,370,748,763,739,766,766,166
jukung,gianyar,213,232,286,187,151,126,215,173,173,173,238,242,69,105,102,104,104
jukung,klungkung,1137,1137,645,29,29,20,19,17,NA,NA,NA,NA,NA,NA,NA,NA,NA
jukung,karangasem,594,580,625,229,174,84,217,217,176,176,210,124,138,162,162,240,124
jukung,buleleng,1214,897,1197,1097,1277,1272,643,602,356,356,1313,631,681,684,684,1237,1237
jukung,denpasar,137,137,156,54,46,40,66,94,94,94,94,94,94,108,128,100,123
