rgn_id,variable,Y_2011,Y_2012,Y_2013,Y_2014,Y_2015
1,catch,43668.9,30573.5,45083.4,45718.5,34104.9
2,catch,4553.3,4632.4,4761.1,6113.1,6474.1
3,catch,810.4,815.3,826.9,884,828.2
4,catch,18074.2,10482,14103.6,22436.1,20379.23
5,catch,12784.4,13374.5,14342.1,17809.2,16307.9
6,catch,18564.8,18083.5,20597.8,21534.5,24910.34
7,catch,1744.3,2065.9,2100.4,2000.9,1889.6
8,catch,716.7,864.1,866,814.9,505.53
1,fishermen,8903,8935,8924,9101,9145
2,fishermen,1734,1274,1040,1392,1430
3,fishermen,2337,2166,1806,1956,2213
4,fishermen,10029,10173,10173,10173,10173
5,fishermen,6813,7180,7150,7058,5583
6,fishermen,6579,6643,6643,6643,6649
7,fishermen,1080,1080,1132,1296,1212
8,fishermen,1264,1271,1046,939,954
1,fishing_gear,3311,2861,2242,2415,1277
2,fishing_gear,4047,2739,3077,3077,3077
3,fishing_gear,3018,3129,9557,8816,4479
4,fishing_gear,3741,1134,994,783,3453
5,fishing_gear,5871,6490,5512,5363,5183
6,fishing_gear,9522,11908,13818,13818,15902
7,fishing_gear,2066,1451,3033,3177,2926
8,fishing_gear,1268,1579,1629,1596,1596
