rgn_id,year,fishermen
1,2011,8903
1,2012,8935
1,2013,8924
1,2014,9101
1,2015,9145
2,2011,1734
2,2012,1274
2,2013,1040
2,2014,1392
2,2015,1430
3,2011,2337
3,2012,2166
3,2013,1806
3,2014,1956
3,2015,2213
4,2011,10029
4,2012,10173
4,2013,10173
4,2014,10173
4,2015,10173
5,2011,6813
5,2012,7180
5,2013,7150
5,2014,7058
5,2015,5583
6,2011,6579
6,2012,6643
6,2013,6643
6,2014,6643
6,2015,6649
7,2011,1080
7,2012,1080
7,2013,1132
7,2014,1296
7,2015,1212
8,2011,1264
8,2012,1271
8,2013,1046
8,2014,939
8,2015,954
